level_0,itrial,dataname,muh_fun,method,train_size,coverage,width,Unnamed: 0,Unnamed: 0.1,index
99,0,Solar_Atl,RandomForestRegressor,Weighted_ICP,1634,0.8492822966507177,155.05046728971962,133.0,13.0,
100,0,Solar_Atl,NeuralNet,ICP,1634,0.7012383900928792,74.63794708251953,134.0,14.0,
101,0,Solar_Atl,NeuralNet,Weighted_ICP,1634,0.7185477061638053,82.13518524169922,135.0,15.0,
102,0,Solar_Atl,RidgeCV,ICP,2413,0.8454243717401612,119.42087315301742,136.0,16.0,
103,0,Solar_Atl,RidgeCV,Weighted_ICP,2413,0.8458985301090565,125.47677811475592,137.0,17.0,
104,0,Solar_Atl,RandomForestRegressor,ICP,2413,0.8357831515726253,173.61513246519982,140.0,20.0,
105,0,Solar_Atl,RandomForestRegressor,Weighted_ICP,2413,0.8490595859016912,161.50649350649348,141.0,21.0,
106,0,Solar_Atl,NeuralNet,ICP,2413,0.8006954322743797,109.18668365478516,142.0,22.0,
107,0,Solar_Atl,NeuralNet,Weighted_ICP,2413,0.8324640429903588,129.83476257324222,143.0,23.0,
108,1,Solar_Atl,RidgeCV,ICP,856,0.7029426686960933,75.47924539736668,144.0,32.0,
109,1,Solar_Atl,RidgeCV,Weighted_ICP,856,0.6362252663622526,64.17336818597644,145.0,33.0,
110,1,Solar_Atl,RandomForestRegressor,ICP,856,0.7653475393201421,107.00751879699257,148.0,36.0,
111,1,Solar_Atl,RandomForestRegressor,Weighted_ICP,856,0.7531709791983765,93.85787878787883,149.0,37.0,
112,1,Solar_Atl,NeuralNet,ICP,856,0.6882293252156266,166.0,150.0,38.0,
113,1,Solar_Atl,NeuralNet,Weighted_ICP,856,0.6788432267884322,160.19998168945312,151.0,39.0,
114,1,Solar_Atl,RidgeCV,ICP,1634,0.7986208837602027,98.06759469763315,152.0,40.0,
115,1,Solar_Atl,RidgeCV,Weighted_ICP,1634,0.7631578947368421,92.43697752521416,153.0,41.0,
116,1,Solar_Atl,RandomForestRegressor,ICP,1634,0.8065015479876161,129.28597285067866,156.0,44.0,
117,1,Solar_Atl,RandomForestRegressor,Weighted_ICP,1634,0.8132564030396848,123.29068627450985,157.0,45.0,
118,1,Solar_Atl,NeuralNet,ICP,1634,0.7272727272727273,87.18507385253906,158.0,46.0,
119,1,Solar_Atl,NeuralNet,Weighted_ICP,1634,0.739938080495356,90.18629455566406,159.0,47.0,
120,1,Solar_Atl,RidgeCV,ICP,2413,0.8454243717401612,120.11503327213852,160.0,48.0,
121,1,Solar_Atl,RidgeCV,Weighted_ICP,2413,0.8503240082187451,125.11263261938764,161.0,49.0,
122,1,Solar_Atl,RandomForestRegressor,ICP,2413,0.8615457562825984,174.90082487309672,164.0,52.0,
123,1,Solar_Atl,RandomForestRegressor,Weighted_ICP,2413,0.8579105421210684,173.0720720720721,165.0,53.0,
124,1,Solar_Atl,NeuralNet,ICP,2413,0.8043306464359096,117.5405731201172,166.0,54.0,
125,1,Solar_Atl,NeuralNet,Weighted_ICP,2413,0.8234550339813498,125.91088104248048,167.0,55.0,
126,2,Solar_Atl,RidgeCV,ICP,856,0.6879756468797564,72.64064300245832,168.0,64.0,
127,2,Solar_Atl,RidgeCV,Weighted_ICP,856,0.7097919837645865,74.6265436071374,169.0,65.0,
128,2,Solar_Atl,RandomForestRegressor,ICP,856,0.7434043632673769,98.83636363636364,172.0,68.0,
129,2,Solar_Atl,RandomForestRegressor,Weighted_ICP,856,0.7762557077625569,112.79544383346432,173.0,69.0,
130,2,Solar_Atl,NeuralNet,ICP,856,0.6750380517503806,56.07921981811523,174.0,70.0,
131,2,Solar_Atl,NeuralNet,Weighted_ICP,856,0.6985032978183663,71.60926055908203,175.0,71.0,
132,2,Solar_Atl,RidgeCV,ICP,1634,0.7441598649028991,89.46458995901916,176.0,72.0,
133,2,Solar_Atl,RidgeCV,Weighted_ICP,1634,0.8176189135941458,102.43821732808053,177.0,73.0,
134,2,Solar_Atl,RandomForestRegressor,ICP,1634,0.7820151984238671,113.28152230425287,180.0,76.0,
135,2,Solar_Atl,RandomForestRegressor,Weighted_ICP,1634,0.8101604278074866,126.46085297119795,181.0,77.0,
136,2,Solar_Atl,NeuralNet,ICP,1634,0.7495074584857867,92.77812957763672,182.0,78.0,
137,2,Solar_Atl,NeuralNet,Weighted_ICP,1634,0.7476780185758514,90.143310546875,183.0,79.0,
138,2,Solar_Atl,RidgeCV,ICP,2413,0.8487434803224277,122.47690472125478,184.0,80.0,
139,2,Solar_Atl,RidgeCV,Weighted_ICP,2413,0.8335704125177809,108.98907188278964,185.0,81.0,
140,2,Solar_Atl,RandomForestRegressor,ICP,2413,0.8251936146672989,173.45588235294116,188.0,84.0,
141,2,Solar_Atl,RandomForestRegressor,Weighted_ICP,2413,0.8489015331120594,155.5773538461538,189.0,85.0,
142,2,Solar_Atl,NeuralNet,ICP,2413,0.8127074442863916,120.64868927001952,190.0,86.0,
143,2,Solar_Atl,NeuralNet,Weighted_ICP,2413,0.7697170855065592,105.8573760986328,191.0,87.0,
