index,Unnamed: 0,itrial,dataname,muh_fun,method,train_size,coverage,width
265,25.0,2,Solar_Atl,NeuralNet,JaB,2433,0.7387387387387387,94.85056040921046
266,26.0,2,Solar_Atl,RNN,JaB,2433,0.7039671250197566,88.74231910144282
267,27.0,3,Solar_Atl,RidgeCV,JaB,876,0.4923896499238965,111.003156706286
268,28.0,3,Solar_Atl,NeuralNet,JaB,876,0.4388635210553018,67.18683062039709
269,29.0,3,Solar_Atl,RNN,JaB,876,0.40005073566717403,60.42192720855184
270,30.0,3,Solar_Atl,RidgeCV,JaB,1654,0.6718266253869969,134.23114907091173
271,31.0,3,Solar_Atl,NeuralNet,JaB,1654,0.6421334083872784,76.29188217697433
272,32.0,3,Solar_Atl,RNN,JaB,1654,0.6249648184632705,69.76576534346526
273,33.0,3,Solar_Atl,RidgeCV,JaB,2433,0.6884779516358464,176.49502917273375
274,34.0,3,Solar_Atl,NeuralNet,JaB,2433,0.7268847795163584,95.93520709008448
275,35.0,3,Solar_Atl,RNN,JaB,2433,0.7208787735103525,93.33566460074512
276,36.0,4,Solar_Atl,RidgeCV,JaB,876,0.4926433282597666,110.11678664563885
277,37.0,4,Solar_Atl,NeuralNet,JaB,876,0.4661339421613394,70.67333732113838
278,38.0,4,Solar_Atl,RNN,JaB,876,0.3598427194317605,64.86831553583252
279,39.0,4,Solar_Atl,RidgeCV,JaB,1654,0.6756262313537855,133.99526739081548
280,40.0,4,Solar_Atl,NeuralNet,JaB,1654,0.6970166056853363,84.60307177868063
281,41.0,4,Solar_Atl,RNN,JaB,1654,0.6331269349845201,74.93289124285832
282,42.0,4,Solar_Atl,RidgeCV,JaB,2433,0.6873715821084242,176.32878166148174
283,43.0,4,Solar_Atl,NeuralNet,JaB,2433,0.729571676940098,102.2818585099323
284,44.0,4,Solar_Atl,RNN,JaB,2433,0.6614509246088194,86.43427957160931
285,45.0,5,Solar_Atl,RidgeCV,JaB,876,0.4923896499238965,110.29915745867487
