itrial,dataname,muh_fun,method,train_size,alpha,coverage,width,bootstrap_type,block_length
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.2,0.8004566789293416,104.40913962003859,circular,48
0,Solar_Atl,LassoCV,Ensemble,,0.5,0.4883927438792338,22.23454795425842,circular,48
0,Solar_Atl,RidgeCV,Ensemble,,0.5,0.49156412533299504,24.099895270390544,circular,48
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.5,0.5311429658759356,8.017513637113973,circular,48
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.5,0.5184574400608906,14.384662824379733,circular,48
0,Solar_Atl,LassoCV,Ensemble,,0.8,0.1872383610300647,7.173506738095823,circular,48
0,Solar_Atl,RidgeCV,Ensemble,,0.8,0.1887606241278701,7.8967781276802675,circular,48
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.8,0.47761004693644554,0.0024751457474261078,circular,48
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.8,0.2852974755803628,1.1360060296763679,circular,48
0,Solar_Atl,LassoCV,Ensemble,,0.9,0.10135735126220982,3.8044467971477247,circular,48
0,Solar_Atl,RidgeCV,Ensemble,,0.9,0.09920081187365216,4.25415914221599,circular,48
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.9,0.47887859951795003,0.0010191654043416138,circular,48
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.9,0.1655461118863377,0.41617734258805805,circular,48
0,Solar_Atl,LassoCV,Ensemble,,0.99,0.008245591779779272,0.3198515415728184,circular,48
0,Solar_Atl,RidgeCV,Ensemble,,0.99,0.009133578586832425,0.3538025012049414,circular,48
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.99,0.4618799949257897,7.509079971639281e-05,circular,48
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.99,0.1307877711531143,0.0036878380959721093,circular,48
0,Solar_Atl,LassoCV,Ensemble,,0.01,0.9862996321197514,457.31221742707913,circular,60
0,Solar_Atl,RidgeCV,Ensemble,,0.01,0.9854116453126982,460.6045181959623,circular,60
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.01,0.9865533426360522,377.7695716727719,circular,60
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.01,0.9860459216034505,352.8669287461471,circular,60
0,Solar_Atl,LassoCV,Ensemble,,0.1,0.8933147278954713,160.8499346962178,circular,60
0,Solar_Atl,RidgeCV,Ensemble,,0.1,0.8936952936699226,161.99374570930343,circular,60
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.1,0.8930610173791703,216.93437850853184,circular,60
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.1,0.8934415831536218,208.91936572314899,circular,60
0,Solar_Atl,LassoCV,Ensemble,,0.2,0.7910693898262083,82.99665551340398,circular,60
0,Solar_Atl,RidgeCV,Ensemble,,0.2,0.7905619687936065,83.87646699240472,circular,60
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.2,0.801978942027147,112.87253641083696,circular,60
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.2,0.7999492578967399,105.27512935325781,circular,60
0,Solar_Atl,LassoCV,Ensemble,,0.5,0.48928073068628697,22.67917116873601,circular,60
0,Solar_Atl,RidgeCV,Ensemble,,0.5,0.49194469110744643,24.731613880765693,circular,60
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.5,0.528732715971077,8.138100234036783,circular,60
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.5,0.5093238614740581,14.75498419442057,circular,60
0,Solar_Atl,LassoCV,Ensemble,,0.8,0.18990232145122415,7.293375621372874,circular,60
0,Solar_Atl,RidgeCV,Ensemble,,0.8,0.1885069136115692,7.996039606027262,circular,60
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.8,0.47925916529240137,0.0014716456781065017,circular,60
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.8,0.2825066599010529,1.2376828190085436,circular,60
