index,itrial,dataname,muh_fun,method,alpha,coverage,width,train_size
99,8,Palo_Alto,RNN,Ensemble,,0.8938356164383562,146.73655286216973,856
100,8,Palo_Alto,RidgeCV,Ensemble,,0.8951590205460175,78.56500370287442,1634
101,8,Palo_Alto,RandomForestRegressor,Ensemble,,0.8985364480720518,118.42022503615928,1634
102,8,Palo_Alto,NeuralNet,Ensemble,,0.8927666760484098,80.34984164319161,1634
103,8,Palo_Alto,RNN,Ensemble,,0.8948775682521812,156.00295216689432,1634
104,8,Palo_Alto,RidgeCV,Ensemble,,0.9095938043306464,82.05155203070976,2413
105,8,Palo_Alto,RandomForestRegressor,Ensemble,,0.9118065433854908,117.42995504698617,2413
106,8,Palo_Alto,NeuralNet,Ensemble,,0.9031136399557452,83.13621925448862,2413
107,8,Palo_Alto,RNN,Ensemble,,0.9151256519677572,162.8599197104286,2413
108,9,Palo_Alto,RidgeCV,Ensemble,,0.8945966514459666,77.10517674463172,856
109,9,Palo_Alto,RandomForestRegressor,Ensemble,,0.8944698122780315,116.48979785236395,856
110,9,Palo_Alto,NeuralNet,Ensemble,,0.8943429731100964,93.713438421003,856
111,9,Palo_Alto,RNN,Ensemble,,0.8935819381024861,146.7665363790798,856
112,9,Palo_Alto,RidgeCV,Ensemble,,0.8944553898114269,78.16748862877766,1634
113,9,Palo_Alto,RandomForestRegressor,Ensemble,,0.8990993526597242,118.78420210333651,1634
114,9,Palo_Alto,NeuralNet,Ensemble,,0.8964255558682803,83.09253576820848,1634
115,9,Palo_Alto,RNN,Ensemble,,0.8947368421052632,155.4365907491077,1634
116,9,Palo_Alto,RidgeCV,Ensemble,,0.9102260154891734,82.67945144041384,2413
117,9,Palo_Alto,RandomForestRegressor,Ensemble,,0.9111743322269638,118.34521143522305,2413
118,9,Palo_Alto,NeuralNet,Ensemble,,0.9064327485380116,83.79594195246301,2413
119,9,Palo_Alto,RNN,Ensemble,,0.9151256519677572,162.9300118234429,2413
1,0,Palo_Alto,RidgeCV,ICP,,0.8099949264332826,79.75233824551043,856
2,0,Palo_Alto,RidgeCV,Weighted_ICP,,0.8329528158295282,96.76569559665647,856
4,0,Palo_Alto,RandomForestRegressor,ICP,,0.8768391679350583,101.5493567753202,856
5,0,Palo_Alto,RandomForestRegressor,Weighted_ICP,,0.8900304414003044,108.84657671163531,856
7,0,Palo_Alto,NeuralNet,ICP,,0.6730086250634196,52.127342224121094,856
8,0,Palo_Alto,NeuralNet,Weighted_ICP,,0.6872146118721462,58.65459060668945,856
10,0,Palo_Alto,RNN,ICP,,0.5644342973110097,29.436655044555664,856
11,0,Palo_Alto,RNN,Weighted_ICP,,0.5657026889903602,29.18388748168945,856
13,0,Palo_Alto,RidgeCV,ICP,,0.8250773993808049,67.35380095668388,1634
14,0,Palo_Alto,RidgeCV,Weighted_ICP,,0.830847171404447,74.47612871900246,1634
16,0,Palo_Alto,RandomForestRegressor,ICP,,0.8432310723332395,91.07787610618452,1634
17,0,Palo_Alto,RandomForestRegressor,Weighted_ICP,,0.8907965099915565,113.27014523938887,1634
19,0,Palo_Alto,NeuralNet,ICP,,0.6564874753729243,48.000709533691406,1634
20,0,Palo_Alto,NeuralNet,Weighted_ICP,,0.6597241767520405,51.43522644042969,1634
22,0,Palo_Alto,RNN,ICP,,0.606951871657754,46.74709701538086,1634
23,0,Palo_Alto,RNN,Weighted_ICP,,0.6107514776245426,48.69046020507813,1634
25,0,Palo_Alto,RidgeCV,ICP,,0.8904694167852063,83.75592779530851,2413
26,0,Palo_Alto,RidgeCV,Weighted_ICP,,0.9058005373794848,88.84028598059733,2413
28,0,Palo_Alto,RandomForestRegressor,ICP,,0.89900426742532,112.77303258144232,2413
29,0,Palo_Alto,RandomForestRegressor,Weighted_ICP,,0.912280701754386,130.09253731343858,2413
31,0,Palo_Alto,NeuralNet,ICP,,0.7020704915441758,46.457603454589844,2413
32,0,Palo_Alto,NeuralNet,Weighted_ICP,,0.7357357357357357,58.44631958007813,2413
34,0,Palo_Alto,RNN,ICP,,0.7564406511774933,86.3746337890625,2413
35,0,Palo_Alto,RNN,Weighted_ICP,,0.7676623992413466,92.24858856201172,2413
37,1,Palo_Alto,RidgeCV,ICP,,0.8011161846778285,79.8639749777473,856
38,1,Palo_Alto,RidgeCV,Weighted_ICP,,0.8247082699137493,80.71379579270564,856
40,1,Palo_Alto,RandomForestRegressor,ICP,,0.8914256722475901,117.95816135083156,856
41,1,Palo_Alto,RandomForestRegressor,Weighted_ICP,,0.8756976154236428,96.95499999999048,856
43,1,Palo_Alto,NeuralNet,ICP,,0.6678082191780822,47.52083969116211,856
44,1,Palo_Alto,NeuralNet,Weighted_ICP,,0.7167681380010147,67.02906799316406,856
46,1,Palo_Alto,RNN,ICP,,0.5791476407914764,31.077863693237305,856
47,1,Palo_Alto,RNN,Weighted_ICP,,0.5843480466768138,33.434539794921875,856
49,1,Palo_Alto,RidgeCV,ICP,,0.8411201801294681,74.71963918459531,1634
50,1,Palo_Alto,RidgeCV,Weighted_ICP,,0.8366169434280889,70.11622317845104,1634
52,1,Palo_Alto,RandomForestRegressor,ICP,,0.8481564874753729,92.12428571427958,1634
53,1,Palo_Alto,RandomForestRegressor,Weighted_ICP,,0.8444976076555024,92.34936299291658,1634
55,1,Palo_Alto,NeuralNet,ICP,,0.6442443005910499,46.19934463500977,1634
56,1,Palo_Alto,NeuralNet,Weighted_ICP,,0.6452293836194765,48.7076530456543,1634
58,1,Palo_Alto,RNN,ICP,,0.5900647340275823,41.57311248779297,1634
59,1,Palo_Alto,RNN,Weighted_ICP,,0.6111736560652969,45.77120971679688,1634
61,1,Palo_Alto,RidgeCV,ICP,,0.9007428481112691,90.30691628252244,2413
