level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
90,90.0,6,Solar_Atl,RidgeCV,Ensemble,0.05,0.9492009132420092,299.8988831208432
91,91.0,6,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9513413242009132,379.99182833548537
92,92.0,6,Solar_Atl,Sequential,Ensemble,0.05,0.9365011415525114,369.56943671963995
93,93.0,6,Solar_Atl,RidgeCV,Ensemble,0.1,0.8984018264840182,199.38730467504595
94,94.0,6,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9035388127853882,259.3546678338736
95,95.0,6,Solar_Atl,Sequential,Ensemble,0.1,0.8871289954337901,227.28493270769928
96,96.0,6,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8456050228310502,141.34913815827926
97,97.0,6,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8501712328767124,170.51713984650056
98,98.0,6,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8360445205479452,167.39420088508746
99,99.0,6,Solar_Atl,RidgeCV,Ensemble,0.2,0.7960901826484018,104.75294529000622
100,100.0,6,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7986586757990868,125.26565238025977
101,101.0,6,Solar_Atl,Sequential,Ensemble,0.2,0.78125,134.673919100621
102,102.0,6,Solar_Atl,RidgeCV,Ensemble,0.25,0.7432933789954338,82.82990992133608
103,103.0,6,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7518550228310502,95.24378742731415
104,104.0,6,Solar_Atl,Sequential,Ensemble,0.25,0.7552796803652968,219.19499143835617
105,105.0,7,Solar_Atl,RidgeCV,Ensemble,0.05,0.94962899543379,301.54286436491486
106,106.0,7,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9511986301369864,368.38282984302145
107,107.0,7,Solar_Atl,Sequential,Ensemble,0.05,0.9406392694063926,365.31734425594664
108,108.0,7,Solar_Atl,RidgeCV,Ensemble,0.1,0.898972602739726,196.3655761199304
109,109.0,7,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9031107305936074,253.6205688521207
110,110.0,7,Solar_Atl,Sequential,Ensemble,0.1,0.8851312785388128,240.11680310025318
111,111.0,7,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8464611872146118,138.62247533751258
112,112.0,7,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8540239726027398,168.52075753423892
113,113.0,7,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.836472602739726,176.85755379524608
114,114.0,7,Solar_Atl,RidgeCV,Ensemble,0.2,0.7966609589041096,102.42847977063153
115,115.0,7,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7989440639269406,124.59366564205784
116,116.0,7,Solar_Atl,Sequential,Ensemble,0.2,0.7862442922374431,134.60808259054093
117,117.0,7,Solar_Atl,RidgeCV,Ensemble,0.25,0.7434360730593608,80.97728740814264
118,118.0,7,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7532819634703196,95.58150878410879
119,119.0,7,Solar_Atl,Sequential,Ensemble,0.25,0.7361586757990868,102.28940583893696
120,120.0,8,Solar_Atl,RidgeCV,Ensemble,0.05,0.9494863013698628,300.66460184582166
121,121.0,8,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9507705479452054,379.99111984786776
122,122.0,8,Solar_Atl,Sequential,Ensemble,0.05,0.939925799086758,358.22934918571013
123,123.0,8,Solar_Atl,RidgeCV,Ensemble,0.1,0.8998287671232876,199.04031189011002
124,124.0,8,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9025399543378996,259.1818459053685
125,125.0,8,Solar_Atl,Sequential,Ensemble,0.1,0.8842751141552512,238.08562113892958
126,126.0,8,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8467465753424658,140.50544179598697
127,127.0,8,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8515981735159818,170.28033656827878
128,128.0,8,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8369006849315068,173.2919635899446
129,129.0,8,Solar_Atl,RidgeCV,Ensemble,0.2,0.7973744292237442,103.45023277987396
130,130.0,8,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7995148401826484,124.50805563801954
131,131.0,8,Solar_Atl,Sequential,Ensemble,0.2,0.7875285388127854,127.87184539311407
132,132.0,8,Solar_Atl,RidgeCV,Ensemble,0.25,0.7444349315068494,81.3977125558242
133,133.0,8,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7517123287671232,94.82405786085623
134,134.0,8,Solar_Atl,Sequential,Ensemble,0.25,0.7374429223744292,109.31067867473064
135,135.0,9,Solar_Atl,RidgeCV,Ensemble,0.05,0.9492009132420092,301.1347489095368
136,136.0,9,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9510559360730594,375.1131586091557
137,137.0,9,Solar_Atl,Sequential,Ensemble,0.05,0.9412100456621004,351.10290925274217
138,138.0,9,Solar_Atl,RidgeCV,Ensemble,0.1,0.898972602739726,195.92547245732047
139,139.0,9,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9018264840182648,257.7909661791452
140,140.0,9,Solar_Atl,Sequential,Ensemble,0.1,0.8979737442922374,528.7033961187217
141,141.0,9,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8467465753424658,137.70172261742917
142,142.0,9,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8507420091324199,170.75223235258804
143,143.0,9,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8324771689497716,174.49191402077
144,144.0,9,Solar_Atl,RidgeCV,Ensemble,0.2,0.7969463470319634,101.91940128590765
145,145.0,9,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7992294520547946,125.13979316557074
146,146.0,9,Solar_Atl,Sequential,Ensemble,0.2,0.7880993150684932,131.40840776301604
147,147.0,9,Solar_Atl,RidgeCV,Ensemble,0.25,0.7445776255707762,80.46830671106945
148,148.0,9,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7508561643835616,95.69721715900205
149,149.0,9,Solar_Atl,Sequential,Ensemble,0.25,0.7340182648401826,105.39065982946082
150,0.0,0,Solar_Atl,,ARIMA,0.05,0.8591609589041096,144.2893829848251
151,1.0,0,Solar_Atl,,ARIMA,0.1,0.8229166666666666,121.09146739697624
152,2.0,0,Solar_Atl,,ARIMA,0.15000000000000002,0.7992294520547946,105.97598188912168
153,3.0,0,Solar_Atl,,ARIMA,0.2,0.7714041095890408,94.34575640891735
