index,itrial,dataname,method,alpha,coverage,width,muh_fun
112,5,appliances,Ensemble,0.2,0.75725,209.6364973344619,RidgeCV
113,5,appliances,Ensemble,0.2,0.77475,211.77841489507784,RandomForestRegressor
114,5,appliances,Ensemble,0.2,0.7965,138.65933364093766,Sequential
115,5,appliances,Ensemble,0.2,0.791375,94.39382469006365,RNN
116,5,appliances,Ensemble,0.25,0.69725,180.481549591708,RidgeCV
117,5,appliances,Ensemble,0.25,0.7205,170.78759697034064,RandomForestRegressor
118,5,appliances,Ensemble,0.25,0.732375,113.11184129411038,Sequential
119,5,appliances,Ensemble,0.25,0.72675,77.96959329376195,RNN
120,6,appliances,Ensemble,0.05,0.942125,451.9613673459269,RidgeCV
121,6,appliances,Ensemble,0.05,0.945625,510.58382821005233,RandomForestRegressor
122,6,appliances,Ensemble,0.05,0.94725,404.06140566213196,Sequential
123,6,appliances,Ensemble,0.05,0.952625,322.47795996843917,RNN
124,6,appliances,Ensemble,0.1,0.884,313.4919738348744,RidgeCV
125,6,appliances,Ensemble,0.1,0.88425,354.2635556781309,RandomForestRegressor
126,6,appliances,Ensemble,0.1,0.893875,277.21719440448413,Sequential
127,6,appliances,Ensemble,0.1,0.89775,201.1133751421735,RNN
128,6,appliances,Ensemble,0.15000000000000002,0.817125,249.46222062107228,RidgeCV
129,6,appliances,Ensemble,0.15000000000000002,0.81875,258.21529124329413,RandomForestRegressor
130,6,appliances,Ensemble,0.15000000000000002,0.841125,187.31537257652974,Sequential
131,6,appliances,Ensemble,0.15000000000000002,0.844625,117.95879776328917,RNN
132,6,appliances,Ensemble,0.2,0.7555,212.7610423698197,RidgeCV
133,6,appliances,Ensemble,0.2,0.77975,205.53964983495868,RandomForestRegressor
134,6,appliances,Ensemble,0.2,0.79975,138.3013479549744,Sequential
135,6,appliances,Ensemble,0.2,0.788125,94.30657362532264,RNN
136,6,appliances,Ensemble,0.25,0.69575,183.38468956557202,RidgeCV
137,6,appliances,Ensemble,0.25,0.72225,166.71698314129625,RandomForestRegressor
138,6,appliances,Ensemble,0.25,0.734375,114.13655161113827,Sequential
139,6,appliances,Ensemble,0.25,0.729125,77.81739189829224,RNN
140,7,appliances,Ensemble,0.05,0.941,451.98049731276376,RidgeCV
141,7,appliances,Ensemble,0.05,0.94175,537.6359181880193,RandomForestRegressor
142,7,appliances,Ensemble,0.05,0.946875,403.1589265230853,Sequential
143,7,appliances,Ensemble,0.05,0.952125,322.50479977852433,RNN
144,7,appliances,Ensemble,0.1,0.88125,314.8357138812298,RidgeCV
145,7,appliances,Ensemble,0.1,0.876375,371.30619362331976,RandomForestRegressor
146,7,appliances,Ensemble,0.1,0.8965,274.09197656415523,Sequential
147,7,appliances,Ensemble,0.1,0.898625,201.4673935394352,RNN
148,7,appliances,Ensemble,0.15000000000000002,0.8140000000000001,251.21650063082203,RidgeCV
149,7,appliances,Ensemble,0.15000000000000002,0.81575,269.6049534821287,RandomForestRegressor
150,7,appliances,Ensemble,0.15000000000000002,0.84,187.24640803126456,Sequential
151,7,appliances,Ensemble,0.15000000000000002,0.84575,117.80001506590708,RNN
152,7,appliances,Ensemble,0.2,0.752125,214.29913387519161,RidgeCV
153,7,appliances,Ensemble,0.2,0.7785,212.716611364507,RandomForestRegressor
154,7,appliances,Ensemble,0.2,0.79925,139.40917277407013,Sequential
155,7,appliances,Ensemble,0.2,0.79175,94.22480138448937,RNN
156,7,appliances,Ensemble,0.25,0.690875,185.64338150228772,RidgeCV
157,7,appliances,Ensemble,0.25,0.725,171.24768082142566,RandomForestRegressor
158,7,appliances,Ensemble,0.25,0.733875,113.9980321121545,Sequential
159,7,appliances,Ensemble,0.25,0.730875,78.01485174610181,RNN
160,8,appliances,Ensemble,0.05,0.938375,450.884357666502,RidgeCV
161,8,appliances,Ensemble,0.05,0.94025,519.086999602956,RandomForestRegressor
162,8,appliances,Ensemble,0.05,0.9470000000000001,402.48167564042717,Sequential
163,8,appliances,Ensemble,0.05,0.952375,322.3763332156102,RNN
164,8,appliances,Ensemble,0.1,0.882625,312.4885310534888,RidgeCV
165,8,appliances,Ensemble,0.1,0.87675,361.9762859843354,RandomForestRegressor
166,8,appliances,Ensemble,0.1,0.89525,275.3964242174399,Sequential
167,8,appliances,Ensemble,0.1,0.897625,201.02960488490586,RNN
168,8,appliances,Ensemble,0.15000000000000002,0.815125,248.0483751839596,RidgeCV
169,8,appliances,Ensemble,0.15000000000000002,0.816625,264.9603894805029,RandomForestRegressor
170,8,appliances,Ensemble,0.15000000000000002,0.843,179.6648435640889,Sequential
171,8,appliances,Ensemble,0.15000000000000002,0.844625,117.81314948502522,RNN
172,8,appliances,Ensemble,0.2,0.754125,211.6976099408991,RidgeCV
173,8,appliances,Ensemble,0.2,0.7715,211.29299257684124,RandomForestRegressor
174,8,appliances,Ensemble,0.2,0.796625,141.200687236299,Sequential
175,8,appliances,Ensemble,0.2,0.792375,94.53564092673713,RNN
176,8,appliances,Ensemble,0.25,0.69625,182.69377313284986,RidgeCV
177,8,appliances,Ensemble,0.25,0.719875,169.97844653016531,RandomForestRegressor
178,8,appliances,Ensemble,0.25,0.733625,112.31014523787829,Sequential
179,8,appliances,Ensemble,0.25,0.72775,77.77149894417266,RNN
180,9,appliances,Ensemble,0.05,0.938,449.2900487178382,RidgeCV
181,9,appliances,Ensemble,0.05,0.942125,513.3986692178518,RandomForestRegressor
