level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
127,127.0,8,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.853167808219178,204.2304709047632
128,128.0,8,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8428938356164384,154.42035549158481
129,129.0,8,Solar_Atl,RidgeCV,Ensemble,0.2,0.7942351598173516,180.15759008574543
130,130.0,8,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7980878995433791,149.6644212045806
131,131.0,8,Solar_Atl,Sequential,Ensemble,0.2,0.7852454337899544,128.53218767114842
132,132.0,8,Solar_Atl,RidgeCV,Ensemble,0.25,0.7431506849315068,158.01629579088404
133,133.0,8,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.757277397260274,128.25623211253387
134,134.0,8,Solar_Atl,Sequential,Ensemble,0.25,0.7391552511415526,112.16887212954592
135,135.0,9,Solar_Atl,RidgeCV,Ensemble,0.05,0.954195205479452,398.4597648337396
136,136.0,9,Solar_Atl,RandomForestRegressor,Ensemble,0.05,0.9536244292237442,402.6625549381579
137,137.0,9,Solar_Atl,Sequential,Ensemble,0.05,0.9384988584474886,262.60715794438386
138,138.0,9,Solar_Atl,RidgeCV,Ensemble,0.1,0.9041095890410958,291.9925297679962
139,139.0,9,Solar_Atl,RandomForestRegressor,Ensemble,0.1,0.9015410958904108,283.49673729142916
140,140.0,9,Solar_Atl,Sequential,Ensemble,0.1,0.8876997716894978,194.20777848721443
141,141.0,9,Solar_Atl,RidgeCV,Ensemble,0.15000000000000002,0.8497431506849316,216.9469307066039
142,142.0,9,Solar_Atl,RandomForestRegressor,Ensemble,0.15000000000000002,0.8535958904109592,203.00305521465518
143,143.0,9,Solar_Atl,Sequential,Ensemble,0.15000000000000002,0.8378995433789954,152.08904415973302
144,144.0,9,Solar_Atl,RidgeCV,Ensemble,0.2,0.7950913242009132,178.87722804907054
145,145.0,9,Solar_Atl,RandomForestRegressor,Ensemble,0.2,0.7940924657534246,148.1559884168021
146,146.0,9,Solar_Atl,Sequential,Ensemble,0.2,0.7848173515981736,127.36430275122463
147,147.0,9,Solar_Atl,RidgeCV,Ensemble,0.25,0.7421518264840182,156.52322738879454
