level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
107,107.0,7,Beijing_air,Sequential,Ensemble,0.05,0.94375,124.44144970417372
108,108.0,7,Beijing_air,RidgeCV,Ensemble,0.1,0.901375,56.23379347978612
109,109.0,7,Beijing_air,RandomForestRegressor,Ensemble,0.1,0.901375,73.1101140353925
110,110.0,7,Beijing_air,Sequential,Ensemble,0.1,0.891875,93.6108004268102
111,111.0,7,Beijing_air,RidgeCV,Ensemble,0.15000000000000002,0.853625,44.491268744558134
112,112.0,7,Beijing_air,RandomForestRegressor,Ensemble,0.15000000000000002,0.852125,60.1461234427116
113,113.0,7,Beijing_air,Sequential,Ensemble,0.15000000000000002,0.845625,78.01829904058366
114,114.0,7,Beijing_air,RidgeCV,Ensemble,0.2,0.8029999999999999,36.92369092499829
115,115.0,7,Beijing_air,RandomForestRegressor,Ensemble,0.2,0.80375,54.14976012993865
116,116.0,7,Beijing_air,Sequential,Ensemble,0.2,0.7959999999999999,66.33986144168489
117,117.0,7,Beijing_air,RidgeCV,Ensemble,0.25,0.754375,31.17683987888125
118,118.0,7,Beijing_air,RandomForestRegressor,Ensemble,0.25,0.754125,49.47132597146762
119,119.0,7,Beijing_air,Sequential,Ensemble,0.25,0.745,53.29054508603322
120,120.0,8,Beijing_air,RidgeCV,Ensemble,0.05,0.949125,79.2769333686137
121,121.0,8,Beijing_air,RandomForestRegressor,Ensemble,0.05,0.95075,101.82182951376964
122,122.0,8,Beijing_air,Sequential,Ensemble,0.05,0.945,119.49608467773352
123,123.0,8,Beijing_air,RidgeCV,Ensemble,0.1,0.901,55.77597061447528
124,124.0,8,Beijing_air,RandomForestRegressor,Ensemble,0.1,0.902125,72.5983750132758
125,125.0,8,Beijing_air,Sequential,Ensemble,0.1,0.895375,89.80183718090616
126,126.0,8,Beijing_air,RidgeCV,Ensemble,0.15000000000000002,0.8535,44.122154652304715
127,127.0,8,Beijing_air,RandomForestRegressor,Ensemble,0.15000000000000002,0.8525,60.14501829028628
128,128.0,8,Beijing_air,Sequential,Ensemble,0.15000000000000002,0.844875,78.3080726586656
129,129.0,8,Beijing_air,RidgeCV,Ensemble,0.2,0.8025,36.46649439388768
130,130.0,8,Beijing_air,RandomForestRegressor,Ensemble,0.2,0.806125,53.86097794011936
