Unit,Date,Hour Ending,MWH
HWF_HWFG1,20190110,2300,140.38335
HWF_HWFG1,20190110,2400,138.48025
HWF_HWFG1,20190111,100,127.32555
HWF_HWFG1,20190111,200,109.183425
HWF_HWFG1,20190111,300,109.049
HWF_HWFG1,20190111,400,117.810725
HWF_HWFG1,20190111,500,115.007825
HWF_HWFG1,20190111,600,139.680925
HWF_HWFG1,20190111,700,111.59895
HWF_HWFG1,20190111,800,109.462975
HWF_HWFG1,20190111,900,107.390625
HWF_HWFG1,20190111,1000,65.035975
HWF_HWFG1,20190111,1100,118.2648
HWF_HWFG1,20190111,1200,109.247925
HWF_HWFG1,20190111,1300,75.7814
HWF_HWFG1,20190111,1400,83.744025
HWF_HWFG1,20190111,1500,114.996875
HWF_HWFG1,20190111,1600,98.7208
HWF_HWFG1,20190111,1700,77.949125
HWF_HWFG1,20190111,1800,107.601575
HWF_HWFG1,20190111,1900,125.80345
HWF_HWFG1,20190111,2000,140.480425
HWF_HWFG1,20190111,2100,138.098
HWF_HWFG1,20190111,2200,15.30595
HWF_HWFG1,20190111,2300,47.5699
HWF_HWFG1,20190111,2400,67.0887
HWF_HWFG1,20190112,100,69.409875
HWF_HWFG1,20190112,200,76.20725
HWF_HWFG1,20190112,300,94.001225
HWF_HWFG1,20190112,400,109.951325
HWF_HWFG1,20190112,500,134.83405
HWF_HWFG1,20190112,600,136.7949
HWF_HWFG1,20190112,700,135.39475
HWF_HWFG1,20190112,800,100.800475
HWF_HWFG1,20190112,900,114.8566
HWF_HWFG1,20190112,1000,117.32675
HWF_HWFG1,20190112,1100,145.808475
HWF_HWFG1,20190112,1200,144.840875
HWF_HWFG1,20190112,1300,144.516425
HWF_HWFG1,20190112,1400,137.41385
HWF_HWFG1,20190112,1500,143.182825
HWF_HWFG1,20190112,1600,119.666325
HWF_HWFG1,20190112,1700,78.7184
HWF_HWFG1,20190112,1800,39.1782
HWF_HWFG1,20190112,1900,21.620825
HWF_HWFG1,20190112,2000,33.1413
HWF_HWFG1,20190112,2100,37.081075
HWF_HWFG1,20190112,2200,38.172825
HWF_HWFG1,20190112,2300,60.092175
HWF_HWFG1,20190112,2400,43.681975
HWF_HWFG1,20190113,100,19.5443
HWF_HWFG1,20190113,200,18.276525
HWF_HWFG1,20190113,300,18.6137
HWF_HWFG1,20190113,400,22.1283
HWF_HWFG1,20190113,500,39.553625
HWF_HWFG1,20190113,600,32.744525
HWF_HWFG1,20190113,700,22.14415
HWF_HWFG1,20190113,800,15.685125
HWF_HWFG1,20190113,900,19.598375
HWF_HWFG1,20190113,1000,19.8959
HWF_HWFG1,20190113,1100,10.506425
HWF_HWFG1,20190113,1200,8.9879
HWF_HWFG1,20190113,1300,5.71385
HWF_HWFG1,20190113,1400,0.661075
HWF_HWFG1,20190113,1500,4.996225
HWF_HWFG1,20190113,1600,5.914
HWF_HWFG1,20190113,1700,5.509375
HWF_HWFG1,20190113,1800,8.59875
HWF_HWFG1,20190113,1900,10.86425
HWF_HWFG1,20190113,2000,9.225775
HWF_HWFG1,20190113,2100,5.056175
HWF_HWFG1,20190113,2200,4.560825
HWF_HWFG1,20190113,2300,1.3495
HWF_HWFG1,20190113,2400,0
HWF_HWFG1,20190114,100,0
HWF_HWFG1,20190114,200,0
HWF_HWFG1,20190114,300,0
HWF_HWFG1,20190114,400,0
HWF_HWFG1,20190114,500,0
HWF_HWFG1,20190114,600,0
HWF_HWFG1,20190114,700,0
HWF_HWFG1,20190114,800,0
HWF_HWFG1,20190114,900,0
HWF_HWFG1,20190114,1000,0
HWF_HWFG1,20190114,1100,0
HWF_HWFG1,20190114,1200,0
HWF_HWFG1,20190114,1300,0
HWF_HWFG1,20190114,1400,0
HWF_HWFG1,20190114,1500,0.037675
HWF_HWFG1,20190114,1600,0.5186
HWF_HWFG1,20190114,1700,0.033875
HWF_HWFG1,20190114,1800,2.8338
HWF_HWFG1,20190114,1900,3.480625
HWF_HWFG1,20190114,2000,5.930325
HWF_HWFG1,20190114,2100,10.0798
HWF_HWFG1,20190114,2200,18.197025
HWF_HWFG1,20190114,2300,12.99335
HWF_HWFG1,20190114,2400,6.82395
HWF_HWFG1,20190115,100,13.391475
HWF_HWFG1,20190115,200,22.540925
HWF_HWFG1,20190115,300,17.7274
HWF_HWFG1,20190115,400,21.794725
HWF_HWFG1,20190115,500,23.438075
HWF_HWFG1,20190115,600,28.834475
HWF_HWFG1,20190115,700,27.264225
HWF_HWFG1,20190115,800,16.41675
HWF_HWFG1,20190115,900,27.06635
HWF_HWFG1,20190115,1000,16.278625
HWF_HWFG1,20190115,1100,11.647075
HWF_HWFG1,20190115,1200,20.288725
HWF_HWFG1,20190115,1300,40.4276
HWF_HWFG1,20190115,1400,54.08245
HWF_HWFG1,20190115,1500,46.5479
HWF_HWFG1,20190115,1600,57.4802
HWF_HWFG1,20190115,1700,45.621275
HWF_HWFG1,20190115,1800,39.5989
HWF_HWFG1,20190115,1900,30.839675
HWF_HWFG1,20190115,2000,38.961525
HWF_HWFG1,20190115,2100,30.903725
HWF_HWFG1,20190115,2200,41.6604
HWF_HWFG1,20190115,2300,52.763275
HWF_HWFG1,20190115,2400,90.8713
HWF_HWFG1,20190116,100,98.5548
HWF_HWFG1,20190116,200,76.6862
HWF_HWFG1,20190116,300,58.758275
HWF_HWFG1,20190116,400,55.0606
HWF_HWFG1,20190116,500,57.3313
HWF_HWFG1,20190116,600,58.563
HWF_HWFG1,20190116,700,37.14405
HWF_HWFG1,20190116,800,33.9401
HWF_HWFG1,20190116,900,31.6336
HWF_HWFG1,20190116,1000,36.89245
HWF_HWFG1,20190116,1100,34.376375
HWF_HWFG1,20190116,1200,40.512225
HWF_HWFG1,20190116,1300,50.946525
HWF_HWFG1,20190116,1400,51.88225
HWF_HWFG1,20190116,1500,53.553
HWF_HWFG1,20190116,1600,59.329925
HWF_HWFG1,20190116,1700,75.401425
HWF_HWFG1,20190116,1800,73.816675
HWF_HWFG1,20190116,1900,104.99995
HWF_HWFG1,20190116,2000,144.3159
HWF_HWFG1,20190116,2100,156.72015
HWF_HWFG1,20190116,2200,144.0906
HWF_HWFG1,20190116,2300,140.423275
HWF_HWFG1,20190116,2400,134.246825
HWF_HWFG1,20190117,100,114.242275
HWF_HWFG1,20190117,200,137.063525
HWF_HWFG1,20190117,300,133.6941
HWF_HWFG1,20190117,400,130.313175
HWF_HWFG1,20190117,500,114.0027
HWF_HWFG1,20190117,600,120.06735
HWF_HWFG1,20190117,700,48.36725
HWF_HWFG1,20190117,800,50.61475
HWF_HWFG1,20190117,900,49.374575
HWF_HWFG1,20190117,1000,7.608425
HWF_HWFG1,20190117,1100,0.2899
HWF_HWFG1,20190117,1200,0.74905
HWF_HWFG1,20190117,1300,1.224525
HWF_HWFG1,20190117,1400,0
HWF_HWFG1,20190117,1500,0
HWF_HWFG1,20190117,1600,0
HWF_HWFG1,20190117,1700,0
HWF_HWFG1,20190117,1800,2.404075
HWF_HWFG1,20190117,1900,8.006725
HWF_HWFG1,20190117,2000,17.9901
HWF_HWFG1,20190117,2100,32.686775
HWF_HWFG1,20190117,2200,56.888725
HWF_HWFG1,20190117,2300,83.16705
HWF_HWFG1,20190117,2400,114.244725
HWF_HWFG1,20190118,100,134.6406
HWF_HWFG1,20190118,200,140.23965
HWF_HWFG1,20190118,300,141.308375
HWF_HWFG1,20190118,400,125.445475
HWF_HWFG1,20190118,500,97.60155
HWF_HWFG1,20190118,600,90.300525
HWF_HWFG1,20190118,700,153.847225
HWF_HWFG1,20190118,800,157.975
HWF_HWFG1,20190118,900,157.26865
HWF_HWFG1,20190118,1000,157.610025
HWF_HWFG1,20190118,1100,154.6136
HWF_HWFG1,20190118,1200,147.190875
HWF_HWFG1,20190118,1300,152.353275
HWF_HWFG1,20190118,1400,153.703175
HWF_HWFG1,20190118,1500,154.650325
HWF_HWFG1,20190118,1600,140.04355
HWF_HWFG1,20190118,1700,139.5888
HWF_HWFG1,20190118,1800,88.20555
HWF_HWFG1,20190118,1900,75.490575
HWF_HWFG1,20190118,2000,143.0961
HWF_HWFG1,20190118,2100,111.492725
HWF_HWFG1,20190118,2200,141.080675
HWF_HWFG1,20190118,2300,156.00165
HWF_HWFG1,20190118,2400,156.9623
HWF_HWFG1,20190119,100,100.9576
HWF_HWFG1,20190119,200,1.66725
HWF_HWFG1,20190119,300,79.318175
HWF_HWFG1,20190119,400,148.688875
HWF_HWFG1,20190119,500,118.344275
HWF_HWFG1,20190119,600,121.288375
HWF_HWFG1,20190119,700,147.7668
HWF_HWFG1,20190119,800,149.663825
HWF_HWFG1,20190119,900,135.970275
HWF_HWFG1,20190119,1000,150.030525
HWF_HWFG1,20190119,1100,155.4783
HWF_HWFG1,20190119,1200,155.350475
HWF_HWFG1,20190119,1300,154.02515
HWF_HWFG1,20190119,1400,154.165975
HWF_HWFG1,20190119,1500,154.3941
HWF_HWFG1,20190119,1600,147.170675
HWF_HWFG1,20190119,1700,117.69125
HWF_HWFG1,20190119,1800,81.025575
HWF_HWFG1,20190119,1900,51.134475
HWF_HWFG1,20190119,2000,55.63295
HWF_HWFG1,20190119,2100,73.054925
HWF_HWFG1,20190119,2200,47.92675
HWF_HWFG1,20190119,2300,43.771125
HWF_HWFG1,20190119,2400,30.068275
HWF_HWFG1,20190120,100,23.9372
HWF_HWFG1,20190120,200,16.95435
HWF_HWFG1,20190120,300,6.106125
HWF_HWFG1,20190120,400,2.54325
HWF_HWFG1,20190120,500,0.190475
HWF_HWFG1,20190120,600,0.54705
HWF_HWFG1,20190120,700,6.124875
HWF_HWFG1,20190120,800,9.811275
HWF_HWFG1,20190120,900,17.867525
HWF_HWFG1,20190120,1000,5.3955
HWF_HWFG1,20190120,1100,0.262725
HWF_HWFG1,20190120,1200,7.158725
HWF_HWFG1,20190120,1300,27.54575
HWF_HWFG1,20190120,1400,33.967375
HWF_HWFG1,20190120,1500,27.52185
HWF_HWFG1,20190120,1600,22.4465
HWF_HWFG1,20190120,1700,30.647875
HWF_HWFG1,20190120,1800,36.05125
HWF_HWFG1,20190120,1900,88.495625
HWF_HWFG1,20190120,2000,119.9562
HWF_HWFG1,20190120,2100,149.28775
HWF_HWFG1,20190120,2200,146.2973
HWF_HWFG1,20190120,2300,150.678375
HWF_HWFG1,20190120,2400,148.566675
HWF_HWFG1,20190121,100,144.26015
HWF_HWFG1,20190121,200,141.275475
HWF_HWFG1,20190121,300,147.864725
HWF_HWFG1,20190121,400,149.946475
HWF_HWFG1,20190121,500,146.252625
HWF_HWFG1,20190121,600,150.571775
HWF_HWFG1,20190121,700,149.960225
HWF_HWFG1,20190121,800,149.9316
HWF_HWFG1,20190121,900,146.857925
HWF_HWFG1,20190121,1000,147.856975
HWF_HWFG1,20190121,1100,155.932525
HWF_HWFG1,20190121,1200,155.2489
HWF_HWFG1,20190121,1300,156.61065
HWF_HWFG1,20190121,1400,156.3554
HWF_HWFG1,20190121,1500,158.987275
HWF_HWFG1,20190121,1600,160.187825
HWF_HWFG1,20190121,1700,160.343675
HWF_HWFG1,20190121,1800,159.296525
HWF_HWFG1,20190121,1900,159.74745
HWF_HWFG1,20190121,2000,160.0101
HWF_HWFG1,20190121,2100,160.22425
HWF_HWFG1,20190121,2200,160.2239
HWF_HWFG1,20190121,2300,157.562325
HWF_HWFG1,20190121,2400,127.455925
HWF_HWFG1,20190122,100,29.489525
HWF_HWFG1,20190122,200,8.075725
HWF_HWFG1,20190122,300,130.10525
HWF_HWFG1,20190122,400,160.0826
HWF_HWFG1,20190122,500,159.996
HWF_HWFG1,20190122,600,159.418675
HWF_HWFG1,20190122,700,124.50685
HWF_HWFG1,20190122,800,51.9905
HWF_HWFG1,20190122,900,16.06685
HWF_HWFG1,20190122,1000,6.1952
HWF_HWFG1,20190122,1100,10.058475
HWF_HWFG1,20190122,1200,32.49545
HWF_HWFG1,20190122,1300,30.661275
HWF_HWFG1,20190122,1400,111.132925
HWF_HWFG1,20190122,1500,151.823375
HWF_HWFG1,20190122,1600,155.200575
HWF_HWFG1,20190122,1700,158.744875
HWF_HWFG1,20190122,1800,155.58705
HWF_HWFG1,20190122,1900,144.05575
HWF_HWFG1,20190122,2000,119.4267
HWF_HWFG1,20190122,2100,150.313675
HWF_HWFG1,20190122,2200,155.5173
HWF_HWFG1,20190122,2300,157.88055
HWF_HWFG1,20190122,2400,157.88225
HWF_HWFG1,20190123,100,149.06905
HWF_HWFG1,20190123,200,147.086775
HWF_HWFG1,20190123,300,118.484875
HWF_HWFG1,20190123,400,31.9277
HWF_HWFG1,20190123,500,44.2684
HWF_HWFG1,20190123,600,63.87915
HWF_HWFG1,20190123,700,37.497375
HWF_HWFG1,20190123,800,25.373875
HWF_HWFG1,20190123,900,24.80175
HWF_HWFG1,20190123,1000,10.025675
HWF_HWFG1,20190123,1100,21.01625
HWF_HWFG1,20190123,1200,25.39415
HWF_HWFG1,20190123,1300,19.431575
HWF_HWFG1,20190123,1400,12.506675
HWF_HWFG1,20190123,1500,11.3285
HWF_HWFG1,20190123,1600,12.2121
HWF_HWFG1,20190123,1700,21.58925
HWF_HWFG1,20190123,1800,13.95655
HWF_HWFG1,20190123,1900,5.037125
HWF_HWFG1,20190123,2000,8.285925
HWF_HWFG1,20190123,2100,17.72545
HWF_HWFG1,20190123,2200,33.3067
HWF_HWFG1,20190123,2300,46.4433
HWF_HWFG1,20190123,2400,63.523525
HWF_HWFG1,20190124,100,102.033425
HWF_HWFG1,20190124,200,125.290625
HWF_HWFG1,20190124,300,152.636875
HWF_HWFG1,20190124,400,158.127125
HWF_HWFG1,20190124,500,159.898275
HWF_HWFG1,20190124,600,158.031675
HWF_HWFG1,20190124,700,141.8508
HWF_HWFG1,20190124,800,127.22285
HWF_HWFG1,20190124,900,63.76995
HWF_HWFG1,20190124,1000,33.816875
HWF_HWFG1,20190124,1100,11.980725
HWF_HWFG1,20190124,1200,0.0119
HWF_HWFG1,20190124,1300,2.20675
HWF_HWFG1,20190124,1400,13.282325
HWF_HWFG1,20190124,1500,23.205575
HWF_HWFG1,20190124,1600,44.46005
HWF_HWFG1,20190124,1700,54.414675
HWF_HWFG1,20190124,1800,83.378825
HWF_HWFG1,20190124,1900,87.933525
HWF_HWFG1,20190124,2000,124.434075
HWF_HWFG1,20190124,2100,128.148775
HWF_HWFG1,20190124,2200,102.16955
HWF_HWFG1,20190124,2300,74.878925
HWF_HWFG1,20190124,2400,75.047275
HWF_HWFG1,20190125,100,80.678625
HWF_HWFG1,20190125,200,64.740725
HWF_HWFG1,20190125,300,62.56935
HWF_HWFG1,20190125,400,51.705225
HWF_HWFG1,20190125,500,22.774275
HWF_HWFG1,20190125,600,26.943875
HWF_HWFG1,20190125,700,46.6291
HWF_HWFG1,20190125,800,20.37505
HWF_HWFG1,20190125,900,12.169025
HWF_HWFG1,20190125,1000,13.52715
HWF_HWFG1,20190125,1100,1.82475
HWF_HWFG1,20190125,1200,1.227225
HWF_HWFG1,20190125,1300,0.018275
HWF_HWFG1,20190125,1400,0
HWF_HWFG1,20190125,1500,0.106175
HWF_HWFG1,20190125,1600,0.024125
HWF_HWFG1,20190125,1700,1.60935
HWF_HWFG1,20190125,1800,11.663375
HWF_HWFG1,20190125,1900,28.105275
HWF_HWFG1,20190125,2000,27.1552
HWF_HWFG1,20190125,2100,12.066175
HWF_HWFG1,20190125,2200,5.591325
HWF_HWFG1,20190125,2300,11.9837
HWF_HWFG1,20190125,2400,13.24145
HWF_HWFG1,20190126,100,8.007125
HWF_HWFG1,20190126,200,2.05875
HWF_HWFG1,20190126,300,0.0553
HWF_HWFG1,20190126,400,0.035625
HWF_HWFG1,20190126,500,0
HWF_HWFG1,20190126,600,0
HWF_HWFG1,20190126,700,0.002925
HWF_HWFG1,20190126,800,0
HWF_HWFG1,20190126,900,0
HWF_HWFG1,20190126,1000,0
HWF_HWFG1,20190126,1100,0
HWF_HWFG1,20190126,1200,0.144825
HWF_HWFG1,20190126,1300,0.933525
HWF_HWFG1,20190126,1400,0.4702
HWF_HWFG1,20190126,1500,1.17175
HWF_HWFG1,20190126,1600,0.26
HWF_HWFG1,20190126,1700,0
HWF_HWFG1,20190126,1800,0.13675
HWF_HWFG1,20190126,1900,4.45575
HWF_HWFG1,20190126,2000,9.13475
HWF_HWFG1,20190126,2100,16.8985
HWF_HWFG1,20190126,2200,16.973
HWF_HWFG1,20190126,2300,16.97125
HWF_HWFG1,20190126,2400,11.30375
HWF_HWFG1,20190127,100,0.799
HWF_HWFG1,20190127,200,2.6395
HWF_HWFG1,20190127,300,32.07435
HWF_HWFG1,20190127,400,34.027475
HWF_HWFG1,20190127,500,29.695775
HWF_HWFG1,20190127,600,37.90835
HWF_HWFG1,20190127,700,31.243475
HWF_HWFG1,20190127,800,18.27395
HWF_HWFG1,20190127,900,25.0571
HWF_HWFG1,20190127,1000,11.409525
HWF_HWFG1,20190127,1100,4.592725
HWF_HWFG1,20190127,1200,11.273375
HWF_HWFG1,20190127,1300,15.57035
HWF_HWFG1,20190127,1400,8.701675
HWF_HWFG1,20190127,1500,6.5028
HWF_HWFG1,20190127,1600,3.073375
HWF_HWFG1,20190127,1700,2.678075
HWF_HWFG1,20190127,1800,14.38125
HWF_HWFG1,20190127,1900,18.223
HWF_HWFG1,20190127,2000,16.611675
HWF_HWFG1,20190127,2100,54.78945
HWF_HWFG1,20190127,2200,128.78275
HWF_HWFG1,20190127,2300,156.66045
HWF_HWFG1,20190127,2400,156.429475
HWF_HWFG1,20190128,100,134.904975
HWF_HWFG1,20190128,200,144.450575
HWF_HWFG1,20190128,300,161.1647
HWF_HWFG1,20190128,400,162.5884
HWF_HWFG1,20190128,500,162.51465
